firmwareVersion,vendorType,phyIndex,relPos,boardNum,phyClass,softVersion,serverDate,isFRU,alias,bom,physicalFlag,deviceName,deviceIp,containedIn,beginDate,cleiCode,mfgName,desc,name,hardVersion,remark,asset,model,assetNumber,serialNum,buildInfo,devId
,1.3.6.1.4.1.9.12.3.1.5.1,2,0,,5,,2016-01-26T15:20:40-05:00,2,,,0,router.lab.local,10.101.0.1,1,,,Cisco,C2811 Chassis Slot,C2811 Chassis Slot 0,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=15&phyIndex=2,,,,,15
,1.3.6.1.4.1.9.12.3.1.5.1,27,1,,5,,2016-01-26T15:20:40-05:00,2,,,0,router.lab.local,10.101.0.1,1,,,Cisco,C2811 Chassis Slot,C2811 Chassis Slot 1,,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=15&phyIndex=27,,,,,15
,1.3.6.1.4.1.9.12.3.1.9.3.129,3,0,FOC11152G90,9,15.1(4)M,2016-01-26T15:20:40-05:00,2,,,0,router.lab.local,10.101.0.1,2,,,Cisco,c2811 Motherboard with 2FE and integrated VPN,c2811 Motherboard with 2FE and integrated VPN on Slot 0,V04 ,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=15&phyIndex=3,,,FOC11152G90,,15
K.15.30,1.3.6.1.4.1.11.2.3.7.11.50,1,-1,SG9504B1P5,3,K.16.01.0004,2016-01-26T15:21:16-05:00,1,,,0,HP-5406zl,10.10.10.2,0,,,Hewlett-Packard,HP J8697A Switch 5406zl (Formerly ProCurve),Chassis,Rev 0,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=53&phyIndex=1,J8697A,,SG9504B1P5,,53
"System Bootstrap, Version 12.4(13r)T, RELEASE SOFTWARE (fc1)",1.3.6.1.4.1.9.12.3.1.3.450,1,-1,FHK114629PQ,3,"15.1(4)M3, RELEASE SOFTWARE (fc1)",2016-01-27T01:10:55-05:00,2,,,0,router1wan,10.254.0.2,0,,,Cisco,1841 chassis,chassis,V05 ,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=82&phyIndex=1,CISCO1841,,FHK114629PQ,,82
"System Bootstrap, Version 12.4(13r)T, RELEASE SOFTWARE (fc1)",1.3.6.1.4.1.9.12.3.1.3.450,1,-1,FHK114629PP,3,"15.1(4)M3, RELEASE SOFTWARE (fc1)",2016-01-27T01:12:21-05:00,2,,,0,router2wan,10.254.0.3,0,,,Cisco,1841 chassis,chassis,V05 ,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=90&phyIndex=1,CISCO1841,,FHK114629PP,,90
"System Bootstrap, Version 12.4(13r)T, RELEASE SOFTWARE (fc1)",1.3.6.1.4.1.9.12.3.1.3.450,1,-1,FHK130420P9,3,"15.1(4)M3, RELEASE SOFTWARE (fc1)",2016-01-27T01:12:18-05:00,2,,,0,router4,10.254.0.5,0,,,Cisco,1841 chassis,chassis,V05 ,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=94&phyIndex=1,CISCO1841,,FHK130420P9,,94
"System Bootstrap, Version 12.4(13r)T, RELEASE SOFTWARE (fc1)",1.3.6.1.4.1.9.12.3.1.3.450,1,-1,FHK111617AH,3,"15.1(4)M3, RELEASE SOFTWARE (fc1)",2016-01-27T01:12:14-05:00,2,,,0,router3wan,10.254.0.4,0,,,Cisco,1841 chassis,chassis,V04 ,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=92&phyIndex=1,CISCO1841,,FHK111617AH,,92
"System Bootstrap, Version 12.3(8r)T9, RELEASE SOFTWARE (fc1)",1.3.6.1.4.1.9.12.3.1.3.450,1,-1,FHK104110U7,3,"15.1(4)M3, RELEASE SOFTWARE (fc1)",2016-01-27T01:12:25-05:00,2,,,0,router5,10.254.0.6,0,,,Cisco,1841 chassis,chassis,V04 ,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=96&phyIndex=1,CISCO1841,,FHK104110U7,,96
"System Bootstrap, Version 12.4(13r)T, RELEASE SOFTWARE (fc1)",1.3.6.1.4.1.9.12.3.1.3.450,1,-1,FHK111617AG,3,"15.1(4)M3, RELEASE SOFTWARE (fc1)",2016-01-27T01:12:51-05:00,2,,,0,router6wan,10.254.0.7,0,,,Cisco,1841 chassis,chassis,V04 ,,http://10.101.0.203:8080/imcrs/netasset/asset/detail?devId=100&phyIndex=1,CISCO1841,,FHK111617AG,,100
